train_id,direction,origin,next_station,date,status,timeStamp
778,N,Trenton,Stenton,2016-03-23,1 min,2016-03-23 00:01:47
598,N,Thorndale,Narberth,2016-03-23,1 min,2016-03-23 00:01:58
279,S,Elm,Ridley Park,2016-03-23,2 min,2016-03-23 00:02:02
476,N,Airport Terminal E-F,Suburban Station,2016-03-23,On Time,2016-03-23 00:03:19
474,N,Airport Terminal E-F,Jenkintown-Wyncote,2016-03-23,On Time,2016-03-23 00:03:35
279,S,Elm,Crum Lynne,2016-03-23,2 min,2016-03-23 00:03:42
778,N,Trenton,Sedgwick,2016-03-23,2 min,2016-03-23 00:03:48
598,N,Thorndale,Merion,2016-03-23,1 min,2016-03-23 00:03:58
395,S,Trent,Temple U,2016-03-23,On Time,2016-03-23 00:04:17
6464,N,Powelton Yard,30th Street Station,2016-03-23,On Time,2016-03-23 00:04:22
9264,N,Marcus Hook,University City,2016-03-23,On Time,2016-03-23 00:05:02
778,N,Trenton,Mt Airy,2016-03-23,1 min,2016-03-23 00:05:05
276,N,Wilmington,Miquon,2016-03-23,On Time,2016-03-23 00:05:50
598,N,Thorndale,Overbrook,2016-03-23,1 min,2016-03-23 00:05:59
476,N,Airport Terminal E-F,Jefferson Station,2016-03-23,On Time,2016-03-23 00:06:21
279,S,Elm,Eddystone,2016-03-23,2 min,2016-03-23 00:06:25
474,N,Airport Terminal E-F,Glenside,2016-03-23,1 min,2016-03-23 00:07:29
